Site,Race,Latitude,Longitude,Year,Heritability
ABBI,Durango,49.869621,-111.377099,1983,0.8772354
ABBR,Durango,50.549506,-111.852109,1983,0.6571411
ABLE,Durango,49.69886,-112.763594,1983,0.2443341
ABVA,Durango,50.052864,-112.126564,1983,NA
AZBO,Durango,32.451195,-109.958609,1983,NA
AZHE,Durango,31.43833,-110.108139,1983,NA
AZKS,Durango,32.12751,-109.752162,1983,0.280027
AZSA,Durango,32.81499,-109.680619,1983,NA
CACH,Durango,39.6903,-121.823782,1983,NA
CACO,Durango,39.2,-122.02,1983,NA
CAD2,Durango,38.53505,-121.783175,1983,NA
CADV,Durango,38.53782,-121.756973,1983,NA
CAIR,Durango,33.6884,-117.722118,1983,0.2582303
CAOR,Durango,39.62961,-122.005533,1983,0.2543273
CARI,Durango,33.96833,-117.339196,1983,0.1634902
COFC,Durango,40.65167,-104.999168,1983,0.4671578
COFR,Durango,39.17892,-108.700073,1983,0.7039681
IDKI,Durango,42.55103,-114.340004,1983,0.4692075
IDNA,Durango,43.664948,-116.520451,1983,NA
IDP2,Durango,43.80256,-116.944202,1983,NA
IDPA,Durango,43.66495,-116.520451,1983,0.1428621
IDTF,Durango,42.6065,-114.504587,1983,NA
KSCO,Durango,39.387209,-101.068435,1983,NA
KSMA,Durango,39.21192,-96.589243,1983,0.01720833
KSTR,Durango,38.47032,-101.77941,1983,0.4485921
MBBR,Durango,49.86689,-99.973147,1983,NA
MBMO,Durango,49.18491,-98.078299,1983,NA
MIEN,Durango,43.3541,-85.1791,1983,NA
MIS2,Durango,43.39521,-83.68696,1983,NA
MISA,Durango,43.39521,-83.686963,1983,0.1768521
MNBE,Durango,45.38951,-93.885754,1983,0.1966115
MNCR,Durango,47.80604,-96.60909,1983,0.1388179
MNLA,Durango,44.23915,-95.308206,1983,0.1163877
MNMO,Durango,45.60179,-95.901515,1983,0.1727125
MNPE,Durango,46.89022,-95.075698,1983,NA
MNPR,Durango,46.66384,-95.533428,1983,NA
MOCL,Durango,36.487915,-89.96273,1983,NA
MOCO,Durango,38.943,-92.319914,1983,NA
MOPO,Durango,36.395653,-89.609206,1983,NA
MTHU,Durango,45.92061,-108.241794,1983,NA
MTSI,Durango,47.72635,-104.150097,1983,0.8179414
NDAR,Durango,47.10414,-97.218143,1983,NA
NDCA,Durango,47.50822,-99.120669,1983,NA
NDER,Durango,47.11533,-97.387892,1983,NA
NDFA,Durango,46.8994,-96.811921,1983,0
NDHA,Durango,47.6331,-97.460334,1983,0.514162
NDPR,Durango,46.99889,-97.113918,1983,NA
NEMI,Durango,41.94062,-103.821274,1983,NA
NENP,Durango,41.08757,-100.778668,1983,NA
NES2,Durango,41.89178,-103.678862,1983,NA
NESB,Durango,41.94255,-103.814399,1983,0.2887269
NMFA,Durango,36.68915,-108.307665,1983,0
NYFR,Durango,42.52198,-76.330525,1983,0.4203676
ONEL,Durango,43.6419,-80.401772,1983,0.5047412
ONEX,Durango,43.31734,-81.506848,1983,NA
ONGU,Durango,43.54903,-80.213818,1983,NA
ONHA,Durango,42.02955,-82.900968,1983,NA
PRIS,Durango,18.46457,-67.052045,1983,0.7909435
SKOU,Durango,51.47894,-107.050903,1983,NA
SKSA,Durango,52.13359,-106.609455,1983,NA
TXCS,Durango,30.540641,-96.427962,1983,NA
TXLU,Durango,33.6915,-101.826086,1983,NA
TXMU,Durango,33.45195,-99.614823,1983,NA
TXVE,Durango,34.080061,-99.368349,1983,NA
WAOT,Durango,46.79111,-119.033087,1983,0.6080379
WARO,Durango,46.29334,-119.734117,1983,0.7182393
WAVA,Durango,45.67664,-122.649114,1983,NA
WYLI,Durango,42.13224,-104.394135,1983,NA
WYPO,Durango,44.77592,-108.758948,1983,0.2027678
WYRI,Durango,43.0281,-108.426538,1983,NA
WYTO,Durango,42.0815,-104.219912,1983,NA
ABBI,Mesoamerican,49.869621,-111.377099,1983,0.03039724
ABBR,Mesoamerican,50.549506,-111.852109,1983,0.5431707
ABLE,Mesoamerican,49.69886,-112.763594,1983,0.291017
