Phenotype,V_g,V_e,h2
CADV_0,66957.97591668463,456051.2140847965,0.12802447298582845
COFC_0,412226.236732722,427501.53419525153,0.49090461338104313
IDKI_0,247846.56040672705,310880.3036598571,0.4435916300906392
MIEN_0,321988.0035930423,803842.3070963245,0.28600047497023157
MNPR_0,402043.05218314583,764261.1141810758,0.34471543854332165
MTSI_0,161757.14750618488,508946.1588364748,0.2411754138923892
NESB_0,95957.71148936308,579958.9181025982,0.14196678597372434
ONEL_0,33560.49622077838,602401.3823536987,0.05277123889250248
WAOT_0,304623.50816992746,680943.7171559103,0.30908445445638283
WYPO_0,406829.5564370367,672894.3374519557,0.37679036162819546
NYFR_0,33087.82001001564,408992.5436600237,0.07484571297247615
NDFA_0,290367.247225946,266848.46237277484,0.5211038422356292
PRIS_0,8.033138089566131e-5,80315.21789146427,1.0002012436033148e-9
ONGU_0,30741.31665614663,315380.15908471355,0.08881655375571823
CAD2_0,66613.43095137466,4.543042869718513,0.9999318045476719
MISA_0,4.296638138450583e-4,429645.2274590411,1.0000432588450818e-9
WYLI_0,609597.8797098955,41.57463834632907,0.9999318045476719
IDP2_0,995066.8750886611,67.86366363660983,0.9999318045476719
IDPA_0,105774.30002080259,395292.9091666959,0.21109802853058388
MNPE_0,617903.408332679,15045.776450335126,0.9762290926158739
NDHA_0,4.7675317941562006e-4,476676.0766162265,1.0001617499311285e-9
WYTO_0,3.343045913537755e-4,334279.31435254955,1.0000756154084648e-9
AZKS_0,739080.7273850614,1330.981090847122,0.9982023770348163
AZBO_0,93637.5255065192,391130.1805381217,0.19315957795649116
NEMI_0,7.662102525478359e-4,766206.1812893872,1.0000053125285775e-9
ABBI_0,3.1879084148450366e-4,318783.937376964,1.000021656639286e-9
ABLE_0,127379.7837247801,187298.30875392078,0.40479393630937893
CACO_0,919145.7165912144,62.68583278708688,0.9999318045476719
COFR_0,53193.22452595567,460138.9218850816,0.10362340425756736
MBMO_0,646884.4890827975,115656.21154486127,0.8483278185024578
NDER_0,96122.41484348512,93498.59948397553,0.5069185774815508
NMFA_0,191984.98451190293,667431.4538119375,0.22338993757943487
SKSA_0,1.0662876446023426e-4,106621.14898874094,1.0000714245243948e-9
WAVA_0,661220.2340243265,9263.058365477345,0.9861845053103993
ABBR_0,130819.18519771304,484772.7593300224,0.21250957937416445
CACH_0,5.532934451234734e-4,553266.4792042976,1.0000487384775127e-9
MBBR_0,2.789758909386816e-4,278727.2318969926,1.0008921222399832e-9
MOCO_0,145205.95271086114,359417.80774632073,0.2877509227455058
AZSA_0,3327153.5379725825,953526.7928127815,0.7772487737625947
MOCL_0,8817.05062014857,1278.061820622981,0.8733979608328859
TXLU_0,73075.87740419275,471367.99589638336,0.1342211401171358
ABVA_0,7563.024846628865,303959.23198387166,0.024277638855010965
SKOU_0,119947.35163682642,1073811.4213495152,0.10047871844054611
TXMU_0,6.101672318059009e-6,6101.234344523614,1.0000717834143967e-9
IDTF_0,362564.1688768615,203525.78825226595,0.6404709433736856
KSCO_0,4.104690531893363e-5,41046.02879162764,1.0000213537407639e-9
TXCS_0,17024.07959270351,10651.550287678314,0.6151288937698657
TXVE_0,4974.834113900679,0.3392842002941825,0.9999318045476719
WARO_0,370989.9024014943,413814.3484775475,0.4727164792825176
NDAR_0,9.670715656859815e-5,96693.00476553103,1.000146357085294e-9
NDCA_0,4.5888511784295346e-4,458871.6158365961,1.0000294233659106e-9
ONEX_0,1.431960817437884e-4,143191.6656552107,1.0000308394022583e-9
IDNA_0,6.164721061599108e-4,616414.7243537625,1.0000930886095866e-9
MTHU_0,0.001156342241865876,1156304.038239563,1.0000330384299192e-9
NENP_0,1.2824799697476325e-4,128241.43356300745,1.0000511791183154e-9
CAIR_0,4.4337320730458024e-4,443372.1450007708,1.0000023949642464e-9
NES2_0,4.6482527165968225e-4,464810.0074937664,1.0000328385809886e-9
CARI_0,9.679667976928822e-4,967916.6090472379,1.0000518512412724e-9
KSTR_0,699422.3103767957,289350.16941135767,0.707364256867918
CAOR_0,2.5393785128128096e-4,253845.6942163967,1.0003630426395008e-9
ONHA_0,3.1167203784042234e-5,31156.585590651615,1.000340799930785e-9
MNBE_0,0.0014234326515544658,1423344.2642388535,1.0000620973395628e-9
MNCR_0,1.5749458432416115e-4,157493.68319831975,1.0000057206633791e-9
MNLA_0,4.135626845995216e-4,413551.53274182667,1.0000269650653867e-9
MNMO_0,7.688229206939382e-5,76881.33972866599,1.0000123861505008e-9
AZHE_0,9.546112324130724e-6,3864.96319592262,2.4699102725281956e-9
