"Year","SY","Race","Year0"
2015,1774.08,"Durango",34
2015,1908.48,"Mesoamerican",34
2015,871.36,"Nueva Granada",34
2015,1779.68,"Durango",34
2015,2347.52,"Durango",34
2015,1983.52,"Nueva Granada",34
2015,1432.48,"Durango",34
2015,1463.84,"Mesoamerican",34
2015,2610.72,"Durango",34
2015,921.76,"Nueva Granada",34
2015,1680,"Nueva Granada",34
2015,1696.8,"Durango",34
2015,2850.4,"Durango",34
2015,1646.4,"Durango",34
2015,1121.12,"Nueva Granada",34
2015,1678.88,"Durango",34
2015,1192.8,"Nueva Granada",34
2015,990.08,"Mesoamerican",34
2015,661.92,"Nueva Granada",34
2015,973.28,"Nueva Granada",34
2015,2038.4,"Mesoamerican",34
2015,1498.56,"Durango",34
2015,2972.48,"Mesoamerican",34
2015,1929.76,"Nueva Granada",34
2015,3525.76,"Durango",34
2015,3645.6,"Durango",34
2015,3043.04,"Nueva Granada",34
2015,1797.6,"Durango",34
2015,2598.4,"Mesoamerican",34
2015,3564.96,"Durango",34
2015,2780.96,"Nueva Granada",34
2015,3442.88,"Nueva Granada",34
2015,1643.04,"Durango",34
2015,4159.68,"Durango",34
2015,4131.68,"Durango",34
2015,2724.96,"Nueva Granada",34
2015,2337.44,"Durango",34
2015,1956.64,"Nueva Granada",34
2015,3692.64,"Mesoamerican",34
2015,2107.84,"Nueva Granada",34
2015,2731.68,"Nueva Granada",34
2015,3080,"Mesoamerican",34
2015,3581.76,"Durango",34
2015,2780.96,"Mesoamerican",34
2015,1177.12,"Nueva Granada",34
2015,2797.76,"Durango",34
2015,2934.4,"Durango",34
2015,2080.96,"Nueva Granada",34
2015,2712.64,"Durango",34
2015,2984.8,"Mesoamerican",34
2015,3104.64,"Durango",34
2015,1432.48,"Nueva Granada",34
2015,2269.12,"Nueva Granada",34
2015,2609.6,"Durango",34
2015,3564.96,"Durango",34
2015,2644.32,"Durango",34
2015,1075.2,"Nueva Granada",34
2015,2507.68,"Durango",34
2015,1057.28,"Nueva Granada",34
2015,1944.32,"Mesoamerican",34
2015,1142.4,"Nueva Granada",34
2015,1193.92,"Nueva Granada",34
2015,2661.12,"Mesoamerican",34
2015,1917.44,"Nueva Granada",34
2015,3130.4,"Nueva Granada",34
2015,2430.4,"Nueva Granada",34
2015,2595.04,"Nueva Granada",34
2015,3363.36,"Nueva Granada",34
2015,1771.84,"Nueva Granada",34
2015,2271.36,"Nueva Granada",34
2015,2904.16,"Nueva Granada",34
2015,2745.12,"Durango",34
2015,2763.04,"Mesoamerican",34
2015,2729.44,"Durango",34
2015,2298.24,"Durango",34
2015,3297.28,"Durango",34
2015,1813.28,"Mesoamerican",34
2015,2869.44,"Durango",34
2015,872.48,"Durango",34
2015,3136,"Durango",34
2015,2430.4,"Durango",34
2015,1522.08,"Durango",34
2015,2045.12,"Mesoamerican",34
2015,2614.08,"Mesoamerican",34
2015,2833.6,"Nueva Granada",34
2015,3360,"Nueva Granada",34
2015,2329.6,"Nueva Granada",34
2015,3763.2,"Nueva Granada",34
2015,3449.6,"Nueva Granada",34
2015,3393.6,"Nueva Granada",34
2015,3203.2,"Nueva Granada",34
2015,3236.8,"Nueva Granada",34
2015,2726.08,"Durango",34
2015,2317.28,"Mesoamerican",34
2015,1105.44,"Nueva Granada",34
2015,3522.4,"Durango",34
2015,2355.36,"Durango",34
2015,1508.64,"Nueva Granada",34
2015,2317.28,"Durango",34
2015,3152.8,"Mesoamerican",34
2015,2386.72,"Durango",34
2015,1282.4,"Nueva Granada",34
2015,2005.92,"Nueva Granada",34
2015,3858.4,"Durango",34
2015,2936.64,"Durango",34
2015,2437.12,"Durango",34
2015,2502.08,"Nueva Granada",34
2015,3137.12,"Durango",34
2015,1049.44,"Nueva Granada",34
2015,2227.68,"Mesoamerican",34
2015,1999.2,"Nueva Granada",34
2015,2298.24,"Nueva Granada",34
2015,3190.88,"Mesoamerican",34
2015,3808,"Durango",34
2015,2721.6,"Mesoamerican",34
2015,3024,"Durango",34
2015,3158.4,"Durango",34
2015,3628.8,"Durango",34
2015,2968,"Mesoamerican",34
2015,2800,"Durango",34
2015,3192,"Durango",34
2015,4020.8,"Durango",34
2015,2251.2,"Durango",34
2015,3427.2,"Durango",34
2015,2284.8,"Mesoamerican",34
2015,2105.6,"Mesoamerican",34
2015,1695.68,"Durango",34
2015,1490.72,"Mesoamerican",34
2015,716.8,"Nueva Granada",34
2015,1891.68,"Durango",34
2015,2014.88,"Durango",34
2015,996.8,"Nueva Granada",34
2015,2234.4,"Durango",34
2015,3069.92,"Mesoamerican",34
2015,1856.96,"Durango",34
2015,1019.2,"Nueva Granada",34
2015,1322.72,"Nueva Granada",34
2015,1594.88,"Durango",34
2015,2130.24,"Durango",34
2015,1396.64,"Durango",34
2015,1332.8,"Nueva Granada",34
2015,1878.24,"Durango",34
2015,1134.56,"Nueva Granada",34
2015,1685.6,"Mesoamerican",34
2015,999.04,"Nueva Granada",34
2015,791.84,"Nueva Granada",34
2015,1507.52,"Mesoamerican",34
2015,2130.24,"Durango",34
2015,3288.32,"Mesoamerican",34
2015,1551.2,"Nueva Granada",34
2015,2699.2,"Durango",34
2015,2514.4,"Durango",34
2015,2834.72,"Nueva Granada",34
2015,3392.48,"Durango",34
2015,2620.8,"Mesoamerican",34
2015,2100,"Durango",34
2015,1892.8,"Nueva Granada",34
2015,2609.6,"Nueva Granada",34
2015,1076.32,"Durango",34
2015,3304,"Durango",34
2015,2476.32,"Durango",34
2015,2105.6,"Nueva Granada",34
2015,2667.84,"Durango",34
2015,1774.08,"Nueva Granada",34
2015,3756.48,"Mesoamerican",34
2015,2003.68,"Nueva Granada",34
2015,2567.04,"Nueva Granada",34
2015,2597.28,"Mesoamerican",34
2015,4894.4,"Durango",34
2015,4872,"Mesoamerican",34
2015,3169.6,"Nueva Granada",34
2015,4353.44,"Durango",34
2015,3629.92,"Durango",34
2015,3848.32,"Nueva Granada",34
2015,5047.84,"Durango",34
2015,4552.8,"Mesoamerican",34
2015,4649.12,"Durango",34
2015,3133.76,"Nueva Granada",34
2015,3675.84,"Nueva Granada",34
2015,4363.52,"Durango",34
2015,5475.68,"Durango",34
2015,4262.72,"Durango",34
2015,3143.84,"Nueva Granada",34
2015,4437.44,"Durango",34
2015,2708.16,"Nueva Granada",34
2015,4541.6,"Mesoamerican",34
2015,3270.4,"Nueva Granada",34
2015,4094.72,"Nueva Granada",34
2015,4684.96,"Mesoamerican",34
2015,3762.08,"Durango",34
2015,2863.84,"Mesoamerican",34
2015,1928.64,"Nueva Granada",34
2015,3617.6,"Durango",34
2015,3689.28,"Durango",34
2015,3440.64,"Nueva Granada",34
2015,3893.12,"Durango",34
2015,2980.32,"Mesoamerican",34
2015,4141.76,"Durango",34
2015,2462.88,"Nueva Granada",34
2015,3041.92,"Nueva Granada",34
2015,4527.04,"Durango",34
2015,3834.88,"Durango",34
2015,3661.28,"Durango",34
2015,2860.48,"Nueva Granada",34
2015,3886.4,"Durango",34
2015,1794.24,"Nueva Granada",34
2015,2858.24,"Mesoamerican",34
2015,1784.16,"Nueva Granada",34
2015,2820.16,"Nueva Granada",34
2015,2528.96,"Mesoamerican",34
2014,3088.96,"Durango",33
2014,2919.84,"Nueva Granada",33
2014,2733.92,"Durango",33
2014,2254.56,"Durango",33
2014,2782.08,"Mesoamerican",33
2014,3414.88,"Durango",33
2014,1887.2,"Nueva Granada",33
2014,2326.24,"Durango",33
2014,3095.68,"Nueva Granada",33
2014,2621.92,"Nueva Granada",33
2014,3459.68,"Durango",33
2014,1834.56,"Durango",33
2014,2290.4,"Durango",33
2014,3017.28,"Durango",33
2014,1510.88,"Nueva Granada",33
2014,940.8,"Durango",33
2014,2938.88,"Nueva Granada",33
2014,2786.56,"Mesoamerican",33
2014,1785.28,"Nueva Granada",33
2014,2728.32,"Durango",33
2014,3780,"Durango",33
2014,4139.52,"Durango",33
2014,3267.04,"Nueva Granada",33
2014,4118.24,"Durango",33
2014,1704.64,"Nueva Granada",33
2014,3502.24,"Durango",33
2014,3449.6,"Durango",33
2014,3803.52,"Mesoamerican",33
2014,3842.72,"Durango",33
2014,2269.12,"Nueva Granada",33
2014,3856.16,"Durango",33
2014,2032.8,"Nueva Granada",33
2014,3461.92,"Nueva Granada",33
2014,2767.52,"Durango",33
2014,3199.84,"Durango",33
2014,3948,"Durango",33
2014,2623.04,"Durango",33
2014,1626.24,"Nueva Granada",33
2014,3711.68,"Durango",33
2014,1665.44,"Nueva Granada",33
2014,2347.52,"Mesoamerican",33
2014,1770.72,"Nueva Granada",33
2014,2452.8,"Durango",33
2014,3318.56,"Durango",33
2014,4826.08,"Durango",33
2014,2216.48,"Nueva Granada",33
2014,3875.2,"Nueva Granada",33
2014,3424.96,"Nueva Granada",33
2014,3335.36,"Nueva Granada",33
