"Year_num","Year_num0","Estimate","Race","Std.Error"
1981,0,420.275468512332,"Durango",121.73648609074
1982,1,456.227761046706,"Durango",114.035490254777
1983,2,424.751187397395,"Durango",100.133601878546
1984,3,563.6244302811,"Durango",117.311721348715
1985,4,478.873465245627,"Durango",143.296134543817
1986,5,565.343183493998,"Durango",135.332340904362
1987,6,519.275888717231,"Durango",209.799149035135
1988,7,314.442327416226,"Durango",145.670049999729
1989,8,441.872248708466,"Durango",127.433907028701
1990,9,330.722545225211,"Durango",153.883015352175
1991,10,398.106001207668,"Durango",122.383966354632
1992,11,513.007870584843,"Durango",165.949641216208
1993,12,387.412676870673,"Durango",167.159396699389
1994,13,529.912210302698,"Durango",115.74873219571
1995,14,459.916996411725,"Durango",115.158910239738
1996,15,388.72,"Durango",110.999471247681
1997,16,772.188069829087,"Durango",129.825130167383
1998,17,550.586187987897,"Durango",121.914914224556
1999,18,645.535249966434,"Durango",116.461006364052
2000,19,574.706882252842,"Durango",109.16645369621
2001,20,484.29291514724,"Durango",96.3680751209055
2002,21,337.066582488012,"Durango",186.877410151429
2003,22,484.512819240944,"Durango",145.911858361713
2004,23,435.617326400492,"Durango",173.763960616684
2005,24,627.060883478911,"Durango",158.626150543933
2006,25,427.164872449008,"Durango",179.071420525694
2007,26,525.520084776281,"Durango",140.405766277091
2008,27,519.50678092246,"Durango",131.957960700362
2009,28,471.884193479305,"Durango",138.616150480823
2010,29,494.245625709018,"Durango",139.790875909007
2011,30,461.487659574467,"Durango",107.9136293984
2012,31,563.524705882353,"Durango",138.987707827235
2013,32,364.96944656335,"Durango",195.671317907537
2014,33,732.387218848867,"Durango",120.189783202947
2015,34,932.276603830605,"Durango",151.040733355788
1981,0,722.711751835954,"Mesoamerican",317.055515900303
1982,1,631.998291822175,"Mesoamerican",190.504931816949
1983,2,489.73095666459,"Mesoamerican",244.872517215454
1984,3,821.020827777662,"Mesoamerican",206.96649282759
1985,4,584.052734611527,"Mesoamerican",120.96186993365
1986,5,154.367976854525,"Mesoamerican",316.725522518744
1987,6,296.289241585944,"Mesoamerican",545.518526148379
1988,7,522.332878903116,"Mesoamerican",249.814299904235
1989,8,333.288015953492,"Mesoamerican",196.595462955215
1990,9,559.354219370443,"Mesoamerican",131.753012044307
1991,10,431.961088658193,"Mesoamerican",101.330581412217
1992,11,654.364089601482,"Mesoamerican",116.882966162768
1993,12,454.799500836348,"Mesoamerican",160.141629788896
1994,13,743.27980369702,"Mesoamerican",142.540321927882
1995,14,644.234661833528,"Mesoamerican",123.255809879644
1996,15,657.155205374107,"Mesoamerican",135.145980906711
1997,16,451.051124609499,"Mesoamerican",184.96130085321
1998,17,486.333156294718,"Mesoamerican",167.141989716376
1999,18,583.733745411238,"Mesoamerican",166.299411280677
2000,19,656.279872718677,"Mesoamerican",119.3550503213
2001,20,277.409432840485,"Mesoamerican",192.309664302864
2002,21,271.193632707217,"Mesoamerican",259.382676007141
2003,22,909.433635276794,"Mesoamerican",214.14610473394
2004,23,402.045725688196,"Mesoamerican",192.309664302864
2005,24,268.219704046257,"Mesoamerican",251.07576995309
2006,25,507.890526315789,"Mesoamerican",165.077668766127
2007,26,188.878256121014,"Mesoamerican",337.243542148054
2008,27,277.062105882487,"Mesoamerican",197.274092306289
2009,28,247.193333333334,"Mesoamerican",192.309664302864
2010,29,181.672449976888,"Mesoamerican",197.226348244864
2011,30,222.879999999999,"Mesoamerican",271.966935432528
2012,31,393.12,"Mesoamerican",384.619328605729
2013,32,548.799999999999,"Mesoamerican",384.619328605729
2014,33,-167.44,"Mesoamerican",384.619328605729
2015,34,735.585454545454,"Mesoamerican",259.310298446687
1985,4,653.105301977254,"Nueva Granada",159.011415047704
1986,5,475.272380993392,"Nueva Granada",174.730050312345
1987,6,-91.1699580836922,"Nueva Granada",192.52537987353
1988,7,336.040324808656,"Nueva Granada",198.012041861927
1989,8,637.768673359406,"Nueva Granada",256.573478010766
1990,9,108.981407309467,"Nueva Granada",224.047026694528
1991,10,479.140764826138,"Nueva Granada",315.009106853834
1992,11,620.795849820369,"Nueva Granada",257.161577999953
1993,12,438.756907934807,"Nueva Granada",317.946800443144
1994,13,295.726466380547,"Nueva Granada",225.051375317472
1995,14,466.592,"Nueva Granada",171.763007637141
1996,15,528.470902001329,"Nueva Granada",314.959071917698
1997,16,689.059233866873,"Nueva Granada",169.527880081947
1998,17,329.774214089819,"Nueva Granada",164.645542816906
1999,18,583.116694044692,"Nueva Granada",184.281402317023
2000,19,149.146666666664,"Nueva Granada",221.745089357714
2001,20,346.309931676786,"Nueva Granada",151.983955508488
2002,21,1214.17999533887,"Nueva Granada",299.623888164335
2003,22,659.249322048557,"Nueva Granada",550.617448179705
2004,23,216.640260734051,"Nueva Granada",250.596417787106
2005,24,671.782357177688,"Nueva Granada",176.996374911918
2006,25,996.732867982259,"Nueva Granada",336.091410860232
2007,26,875.39179819292,"Nueva Granada",480.706724424221
2008,27,692.342560753161,"Nueva Granada",498.343062515946
2010,29,426.615692829405,"Nueva Granada",554.703523059296
2011,30,336.44449653036,"Nueva Granada",230.233177212898
2012,31,463.570551047247,"Nueva Granada",334.662160900386
2013,32,175.170263687745,"Nueva Granada",317.632886578073
2014,33,757.152141881153,"Nueva Granada",162.291299127474
2015,34,439.780277797316,"Nueva Granada",162.291299127474
