"Year","Y0","Heritability","Race"
1983,0,0.8772354,"Durango"
1983,0,0.6571411,"Durango"
1983,0,0.2443341,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.280027,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.2582303,"Durango"
1983,0,0.2543273,"Durango"
1983,0,0.1634902,"Durango"
1983,0,0.4671578,"Durango"
1983,0,0.7039681,"Durango"
1983,0,0.4692075,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.1428621,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.01720833,"Durango"
1983,0,0.4485921,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.1768521,"Durango"
1983,0,0.1966115,"Durango"
1983,0,0.1388179,"Durango"
1983,0,0.1163877,"Durango"
1983,0,0.1727125,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.8179414,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0,"Durango"
1983,0,0.514162,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.2887269,"Durango"
1983,0,0,"Durango"
1983,0,0.4203676,"Durango"
1983,0,0.5047412,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.7909435,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.6080379,"Durango"
1983,0,0.7182393,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.2027678,"Durango"
1983,0,NA,"Durango"
1983,0,NA,"Durango"
1983,0,0.03039724,"Mesoamerican"
1983,0,0.5431707,"Mesoamerican"
1983,0,0.291017,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.4269688,"Mesoamerican"
1983,0,0.3012389,"Mesoamerican"
1983,0,0.2559624,"Mesoamerican"
1983,0,0.7099248,"Mesoamerican"
1983,0,0.07877278,"Mesoamerican"
1983,0,0.5612289,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.5478091,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.5193576,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0,"Mesoamerican"
1983,0,0.8659873,"Mesoamerican"
1983,0,0.3746739,"Mesoamerican"
1983,0,0.8928742,"Mesoamerican"
1983,0,0.7945977,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.8816251,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.02310204,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.2393517,"Mesoamerican"
1983,0,0.1764427,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.6022337,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0.777815,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,NA,"Mesoamerican"
1983,0,0,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,0.6051896,"Nueva Granada"
1983,0,0.1220811,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0.01133527,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,0.04529716,"Nueva Granada"
1983,0,1.63e-10,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
