Site,Location_code,MATCH,Latitude,Longitude,Year,Date,Heritability
ABBI,ABBI,1,49.869621,-111.377099,1983,1983-01-01,0.6565784
ABBR,ABBR,1,50.549506,-111.852109,1983,1983-01-01,0.7502054
ABLE,ABLE,1,49.69886,-112.763594,1983,1983-01-01,NA
ABVA,ABVA,1,50.052864,-112.126564,1983,1983-01-01,NA
AZBO,AZBO,1,32.451195,-109.958609,1983,1983-01-01,NA
AZHE,AZHE,1,31.43833,-110.108139,1983,1983-01-01,0
AZKS,AZKS,1,32.12751,-109.752162,1983,1983-01-01,NA
AZSA,AZSA,1,32.81499,-109.680619,1983,1983-01-01,NA
CACH,CACH,1,39.6903,-121.823782,1983,1983-01-01,NA
CACO,CACO,1,39.2,-122.02,1983,1983-01-01,NA
CAD2,CAD2,1,38.53505,-121.783175,1983,1983-01-01,NA
CADV,CADV,1,38.53782,-121.756973,1983,1983-01-01,0.2937082
CAIR,CAIR,1,33.6884,-117.722118,1983,1983-01-01,0.3215379
CAOR,CAOR,1,39.62961,-122.005533,1983,1983-01-01,0.4285581
CARI,CARI,1,33.96833,-117.339196,1983,1983-01-01,0.2691027
COFC,COFC,1,40.65167,-104.999168,1983,1983-01-01,0.6854399
COFR,COFR,1,39.17892,-108.700073,1983,1983-01-01,0.3723268
IDKI,IDKI,1,42.55103,-114.340004,1983,1983-01-01,0.822475
IDNA,IDNA,1,43.664948,-116.520451,1983,1983-01-01,NA
IDP2,IDP2,1,43.80256,-116.944202,1983,1983-01-01,NA
IDPA,IDPA,1,43.66495,-116.520451,1983,1983-01-01,0.7403402
IDTF,IDTF,1,42.6065,-114.504587,1983,1983-01-01,NA
KSCO,KSCO,1,39.387209,-101.068435,1983,1983-01-01,NA
KSMA,KSMA,1,39.21192,-96.589243,1983,1983-01-01,0.01720833
KSTR,KSTR,1,38.47032,-101.77941,1983,1983-01-01,0.5831672
MBBR,MBBR,1,49.86689,-99.973147,1983,1983-01-01,NA
MBMO,MBMO,1,49.18491,-98.078299,1983,1983-01-01,NA
MIEN,MIEN,1,43.3541,-85.1791,1983,1983-01-01,NA
MIS2,MIS2,1,43.39521,-83.68696,1983,1983-01-01,NA
MISA,MISA,1,43.39521,-83.686963,1983,1983-01-01,0.1223224
MNBE,MNBE,1,45.38951,-93.885754,1983,1983-01-01,0.2036524
MNCR,MNCR,1,47.80604,-96.60909,1983,1983-01-01,0.410938
MNLA,MNLA,1,44.23915,-95.308206,1983,1983-01-01,0.4186145
MNMO,MNMO,1,45.60179,-95.901515,1983,1983-01-01,0.5787537
MNPE,MNPE,1,46.89022,-95.075698,1983,1983-01-01,0.5787537
MNPR,MNPR,1,46.66384,-95.533428,1983,1983-01-01,NA
MOCL,MOCL,1,36.487915,-89.96273,1983,1983-01-01,NA
MOCO,MOCO,1,38.943,-92.319914,1983,1983-01-01,NA
MOPO,MOPO,1,36.395653,-89.609206,1983,1983-01-01,NA
MTHU,MTHU,1,45.92061,-108.241794,1983,1983-01-01,NA
MTSI,MTSI,1,47.72635,-104.150097,1983,1983-01-01,NA
NDAR,NDAR,1,47.10414,-97.218143,1983,1983-01-01,0.8937691
NDCA,NDCA,1,47.50822,-99.120669,1983,1983-01-01,NA
NDER,NDER,1,47.11533,-97.387892,1983,1983-01-01,NA
NDFA,NDFA,1,46.8994,-96.811921,1983,1983-01-01,NA
NDHA,NDHA,1,47.6331,-97.460334,1983,1983-01-01,0.1922445
NDPR,NDPR,1,46.99889,-97.113918,1983,1983-01-01,NA
NEMI,NEMI,1,41.94062,-103.821274,1983,1983-01-01,NA
NENP,NENP,1,41.08757,-100.778668,1983,1983-01-01,NA
NES2,NES2,1,41.89178,-103.678862,1983,1983-01-01,NA
